season,week,home_id,away_id,home_score,away_score,home_turnovers,away_turnovers,home_win
2016,3,11,24,26,22,2,3,1
2016,3,12,20,24,3,1,8,1
2016,3,21,23,34,3,0,2,1
2016,3,6,3,31,17,1,2,1
2016,3,18,1,32,45,2,0,0
2016,4,4,15,22,7,0,2,1
2016,4,30,11,30,27,0,1,1
2016,4,1,29,48,33,1,2,1
2016,4,3,8,17,14,0,2,1
2016,4,17,2,0,16,1,0,0
2016,4,20,26,17,27,3,0,0
2016,4,28,5,31,20,1,3,1
2016,4,33,13,27,28,1,1,0
2016,4,34,10,27,20,2,1,1
2016,4,27,7,7,27,3,0,0
2016,4,22,14,13,17,5,1,0
2016,4,24,18,34,35,3,2,0
2016,4,25,6,17,24,1,0,0
2016,4,23,12,43,14,0,2,1
2016,4,16,19,24,10,0,2,1
2016,5,25,22,21,33,3,0,0
2016,5,5,17,13,33,1,0,0
2016,5,8,21,24,23,1,2,1
2016,5,11,3,29,23,0,1,1
2016,5,15,10,17,30,2,0,0
2016,5,16,34,31,13,0,1,1
2016,5,23,20,31,13,1,0,1
2016,5,33,28,10,16,1,2,0
2016,5,7,1,16,23,1,1,0
2016,5,6,4,28,14,1,0,1
2016,5,13,24,34,31,1,4,1
2016,5,14,2,19,30,3,0,0
2016,5,9,19,23,16,2,1,1
2016,5,29,27,14,17,4,0,0
2016,6,24,7,21,13,2,2,1
2016,6,2,25,45,16,2,1,1
2016,6,3,30,16,17,0,2,0
2016,6,8,14,31,28,0,1,1
2016,6,10,5,28,26,1,0,1
2016,6,15,23,30,15,0,2,1
2016,6,17,4,35,17,0,0,1
2016,6,18,29,41,38,1,2,1
2016,6,19,33,27,23,3,0,1
2016,6,28,21,27,20,1,0,1
2016,6,13,12,10,26,2,0,0
2016,6,9,6,16,30,4,2,0
2016,6,26,1,26,24,0,2,1
2016,6,34,11,26,23,1,1,1
2016,6,22,20,28,3,0,2,1
2016,7,9,3,26,10,1,2,1
2016,7,14,19,10,17,4,1,0
2016,7,4,5,31,17,1,2,1
2016,7,8,28,20,17,0,2,1
2016,7,10,11,26,34,1,0,0
2016,7,12,18,27,21,0,2,1
2016,7,15,2,28,25,0,0,1
2016,7,20,33,24,16,2,3,1
2016,7,21,16,21,10,4,4,1
2016,7,30,13,16,33,3,0,0
2016,7,1,24,30,33,1,2,0
2016,7,25,27,17,34,3,1,0
2016,7,23,17,16,27,1,2,0
2016,7,22,26,6,6,0,0,0
2016,7,7,34,27,9,0,2,1
2016,8,10,30,36,22,0,1,1
2016,8,4,28,27,27,2,1,0
2016,8,2,17,25,41,0,0,0
2016,8,5,20,28,31,2,0,0
2016,8,11,12,14,30,2,0,0
2016,8,18,26,25,20,1,1,1
2016,8,27,13,24,30,0,1,0
2016,8,29,22,30,20,1,2,1
2016,8,34,8,20,13,1,0,1
2016,8,7,24,27,19,3,3,1
2016,8,1,9,33,32,0,0,1
2016,8,6,21,29,23,1,1,1
2016,8,3,16,20,10,0,0,1
2016,9,27,1,28,43,2,1,0
2016,9,5,6,10,35,0,0,0
2016,9,12,30,19,14,0,4,1
2016,9,15,20,27,23,0,2,1
2016,9,16,8,16,22,0,1,0
2016,9,19,21,28,23,2,2,1
2016,9,33,23,21,14,1,1,1
2016,9,14,29,10,13,1,0,0
2016,9,25,18,23,41,4,0,0
2016,9,9,11,26,31,1,2,0
2016,9,24,10,43,35,0,3,1
2016,9,13,7,30,20,0,2,1
2016,9,26,2,31,25,0,1,1
2016,10,33,5,28,7,2,3,1
2016,10,10,9,47,25,0,3,1
2016,10,18,7,23,25,4,2,0
2016,10,20,14,6,9,1,0,0
2016,10,21,1,24,15,1,1,1
2016,10,27,3,36,10,1,4,1
2016,10,28,16,26,20,1,1,1
2016,10,29,12,17,20,2,1,0
2016,10,30,34,21,24,2,0,0
2016,10,24,15,24,31,4,1,0
2016,10,22,25,23,20,4,1,1
2016,10,23,6,30,35,0,1,0
2016,10,17,26,24,31,2,0,0
2016,10,19,4,21,20,2,1,1
2016,11,29,18,23,20,0,2,1
2016,11,4,2,12,16,2,1,0
2016,11,5,23,9,24,2,0,0
2016,11,6,33,27,17,0,0,1
2016,11,8,30,26,19,2,3,1
2016,11,11,10,24,17,1,0,1
2016,11,12,27,17,19,2,1,0
2016,11,16,22,30,24,1,2,1
2016,11,19,3,22,16,0,1,1
2016,11,14,15,10,14,1,1,0
2016,11,25,17,17,30,0,0,0
2016,11,26,21,26,15,0,2,1
2016,11,28,9,42,24,0,2,1
2016,11,13,34,27,20,1,2,1
2016,12,8,16,16,13,0,1,1
2016,12,6,28,31,26,0,0,1
2016,12,11,23,7,28,2,0,0
2016,12,1,22,38,19,1,1,1
2016,12,2,30,28,21,0,0,1
2016,12,3,10,21,27,2,0,0
2016,12,5,19,13,27,3,1,0
2016,12,15,25,31,24,0,2,1
2016,12,18,14,49,21,1,2,1
2016,12,33,4,19,14,1,2,1
2016,12,34,24,13,21,4,1,0
2016,12,27,26,14,5,2,3,1
2016,12,13,29,35,32,2,2,1
2016,12,20,17,17,22,2,0,0
2016,12,7,12,27,30,1,0,0
2016,12,21,9,13,27,1,0,0
2016,13,16,6,15,17,1,2,0
2016,13,1,12,28,29,1,1,0
2016,13,3,25,26,6,1,0,1
2016,13,4,21,32,14,2,3,1
2016,13,9,34,21,13,1,1,1
2016,13,17,14,26,10,0,2,1
2016,13,18,8,13,28,3,0,0
2016,13,30,7,10,20,3,0,0
2016,13,33,15,38,6,2,3,1
2016,13,13,2,38,24,0,2,1
2016,13,22,28,31,23,0,2,1
2016,13,23,19,24,14,2,2,1
2016,13,24,27,21,28,2,1,0
2016,13,26,29,40,7,1,2,1
2016,13,20,11,10,41,3,1,0
2016,14,12,13,21,13,3,0,1
2016,14,2,23,20,27,1,3,0
2016,14,5,4,10,23,1,0,0
2016,14,8,3,20,17,2,0,1
2016,14,10,7,13,10,0,2,1
2016,14,11,34,17,22,3,1,0
2016,14,15,22,26,23,3,4,1
2016,14,21,28,22,27,2,1,0
2016,14,29,24,28,16,1,5,1
2016,14,30,16,16,25,0,1,0
2016,14,25,20,17,23,0,1,0
2016,14,9,26,38,10,0,6,1
2016,14,14,1,14,42,5,0,0
2016,14,27,18,16,11,0,3,1
2016,14,19,6,10,7,3,3,1
2016,14,17,33,30,23,3,1,1
2016,15,26,14,24,3,1,0,1
2016,15,20,15,13,34,4,1,0
2016,15,2,5,33,13,0,0,1
2016,15,3,9,27,30,4,0,0
2016,15,4,23,20,24,1,0,0
2016,15,12,10,17,19,1,3,0
2016,15,16,11,6,34,3,0,0
2016,15,19,8,17,6,0,2,1
2016,15,33,21,27,26,2,1,1
2016,15,34,30,21,20,2,1,1
2016,15,1,25,41,13,1,1,1
2016,15,22,18,41,48,2,1,0
2016,15,7,17,3,16,3,0,0
2016,15,24,13,16,19,2,2,0
2016,15,6,27,26,20,1,4,1
2016,15,28,29,15,26,3,0,0
2016,16,21,19,24,19,1,3,1
2016,16,2,15,31,34,0,1,0
2016,16,3,28,21,41,5,0,0
2016,16,5,24,20,17,0,1,1
2016,16,9,16,38,25,0,2,1
2016,16,17,20,41,3,0,4,1
2016,16,29,1,16,33,2,0,0
2016,16,30,10,38,17,1,1,1
2016,16,13,11,33,25,0,3,1
2016,16,14,25,21,22,2,2,0
2016,16,18,27,31,24,0,2,1
2016,16,26,22,31,34,1,1,0
2016,16,34,4,12,10,0,1,1
2016,16,23,33,31,27,2,1,1
2016,16,12,7,33,10,1,3,1
2016,16,6,8,42,21,0,2,1
2016,17,4,33,27,10,0,2,1
2016,17,10,34,24,17,1,1,1
2016,17,11,30,24,20,2,2,1
2016,17,15,17,14,35,2,0,0
2016,17,16,3,38,10,1,5,1
2016,17,20,2,30,10,0,3,1
2016,17,21,6,27,13,0,2,1
2016,17,23,5,27,24,1,4,1
2016,17,27,29,17,16,2,3,1
2016,17,1,18,38,32,0,1,1
2016,17,7,13,24,6,1,3,1
2016,17,14,22,6,44,3,2,0
2016,17,24,12,27,37,2,1,0
2016,17,25,26,23,25,2,0,0
2016,17,28,19,10,19,3,0,0
2016,17,8,9,24,31,1,0,0
2017,1,17,12,27,42,0,1,0
2017,1,2,20,21,12,1,2,1
2017,1,3,1,17,23,0,0,0
2017,1,4,33,0,20,5,1,0
2017,1,5,23,18,21,1,1,0
2017,1,8,22,35,23,1,4,1
2017,1,10,13,16,26,0,0,0
2017,1,28,21,17,30,4,2,0
2017,1,34,30,7,29,4,0,0
2017,1,14,11,46,9,1,3,1
2017,1,9,26,17,9,1,1,1
2017,1,25,29,3,23,2,2,0
2017,1,6,19,19,3,0,1,1
2017,1,16,18,29,19,0,0,1
2017,1,7,24,24,21,2,1,1
2017,2,4,34,9,13,1,0,0
2017,2,11,22,13,16,1,1,0
2017,2,12,21,27,20,0,2,1
2017,2,18,17,20,36,0,0,0
2017,2,23,16,26,9,0,1,1
2017,2,27,3,29,7,1,4,1
2017,2,29,2,9,3,0,0,1
2017,2,30,10,16,37,3,1,0
2017,2,33,5,24,10,2,5,1
2017,2,13,20,45,20,0,2,1
2017,2,24,15,17,19,0,0,0
2017,2,7,6,42,17,2,2,1
2017,2,14,28,20,27,2,0,0
2017,2,26,25,12,9,0,1,1
2017,2,1,9,34,23,0,2,1
2017,2,19,8,10,24,1,1,0
2017,3,25,14,39,41,2,2,0
2017,3,30,33,44,7,0,3,1
2017,3,2,7,26,16,0,2,1
2017,3,3,23,23,17,2,2,1
2017,3,8,1,26,30,0,3,0
2017,3,11,5,31,28,1,3,1
2017,3,16,27,34,17,0,3,1
2017,3,17,34,36,33,1,2,1
2017,3,20,15,20,6,1,2,1
2017,3,21,19,27,24,1,2,1
2017,3,29,18,13,34,3,0,0
2017,3,10,26,33,27,0,0,1
2017,3,9,4,27,24,1,1,1
2017,3,24,12,10,24,3,0,0
2017,3,28,13,27,10,2,3,1
2017,3,22,6,17,28,0,0,0
2017,4,9,3,35,14,0,4,1
2017,4,15,18,0,20,1,0,0
2017,4,1,2,17,23,3,0,0
2017,4,5,4,7,31,1,1,0
2017,4,6,14,30,35,2,0,0
2017,4,16,8,7,14,3,0,0
2017,4,17,29,30,33,0,2,0
2017,4,20,30,23,20,2,1,1
2017,4,33,23,9,26,3,1,0
2017,4,34,10,57,14,1,5,1
2017,4,22,25,18,15,1,1,1
2017,4,24,21,24,26,1,0,0
2017,4,27,19,25,23,0,0,1
2017,4,7,13,16,10,0,1,1
2017,4,26,11,46,18,2,2,1
2017,4,12,28,29,20,0,1,1
2017,5,27,17,14,19,0,2,0
2017,5,4,2,20,16,3,1,1
2017,5,5,20,14,17,3,1,0
2017,5,8,29,24,27,1,0,0
2017,5,11,25,26,23,1,0,1
2017,5,15,10,16,10,2,2,1
2017,5,19,24,22,27,2,1,0
2017,5,21,22,34,7,1,1,1
2017,5,23,30,9,30,5,1,0
2017,5,13,33,17,30,1,0,0
2017,5,14,26,10,16,5,2,0
2017,5,6,9,31,35,3,1,0
2017,5,34,12,34,42,1,0,0
2017,5,3,16,17,20,2,0,0
2017,6,29,21,23,28,3,1,0
2017,6,1,15,17,20,1,1,0
2017,6,16,9,23,10,2,3,1
2017,6,18,8,52,38,3,5,1
2017,6,20,17,17,24,3,2,0
2017,6,28,25,26,24,2,1,1
2017,6,33,3,24,27,3,2,0
2017,6,34,5,33,17,1,3,1
2017,6,22,27,38,33,2,2,1
2017,6,30,14,17,27,1,1,0
2017,6,12,23,13,19,0,1,0
2017,6,13,24,16,17,2,1,0
2017,6,7,19,10,23,3,0,0
2017,6,10,11,36,22,1,1,1
2017,7,13,12,31,30,0,0,1
2017,7,2,27,30,27,1,3,1
2017,7,3,29,17,3,0,3,1
2017,7,5,10,9,12,3,1,0
2017,7,9,18,17,26,1,2,0
2017,7,11,30,0,27,0,2,0
2017,7,14,22,33,0,1,2,1
2017,7,15,20,31,28,2,2,1
2017,7,16,33,24,16,1,0,1
2017,7,25,6,10,40,3,0,0
2017,7,19,26,7,24,1,1,0
2017,7,23,4,29,14,0,2,1
2017,7,24,7,21,0,0,3,1
2017,7,17,1,23,7,0,0,1
2017,7,21,28,34,24,1,1,1
2017,8,33,15,40,0,0,2,1
2017,8,5,16,16,33,2,1,0
2017,8,2,13,34,14,0,4,1
2017,8,4,11,24,23,2,1,1
2017,8,17,24,21,13,0,1,1
2017,8,18,3,20,12,2,1,1
2017,8,20,1,20,25,1,2,0
2017,8,21,25,33,10,1,2,1
2017,8,27,29,3,17,3,1,0
2017,8,26,34,41,38,1,3,1
2017,8,28,6,19,33,3,1,0
2017,8,8,23,15,20,1,2,0
2017,8,12,7,29,19,2,5,1
2017,9,20,2,34,21,0,3,1
2017,9,10,33,23,20,1,2,1
2017,9,18,27,30,10,2,1,1
2017,9,19,14,17,51,3,0,0
2017,9,21,7,51,23,1,2,1
2017,9,29,1,20,17,2,1,1
2017,9,30,4,23,7,1,0,1
2017,9,34,11,14,20,1,1,0
2017,9,25,22,10,20,2,2,0
2017,9,26,28,14,17,2,1,0
2017,9,6,12,28,17,0,1,1
2017,9,15,13,24,27,1,2,0
2017,9,9,8,17,30,0,1,0
2017,10,22,26,16,22,1,0,0
2017,10,2,18,10,47,1,1,0
2017,10,3,9,16,23,1,0,0
2017,10,8,5,38,24,1,2,1
2017,10,10,4,24,20,2,2,1
2017,10,11,23,17,20,1,1,0
2017,10,27,20,15,10,1,2,1
2017,10,28,16,30,38,1,2,0
2017,10,30,24,20,17,2,2,1
2017,10,14,34,33,7,0,4,1
2017,10,1,6,27,7,1,2,1
2017,10,25,19,31,21,2,1,1
2017,10,7,17,16,41,2,0,0
2017,10,29,15,45,21,0,1,1
2017,11,23,10,40,17,0,4,1
2017,11,3,8,24,27,1,1,0
2017,11,5,30,7,19,5,1,0
2017,11,9,33,0,23,5,1,0
2017,11,15,27,20,30,5,0,0
2017,11,16,14,24,7,0,1,1
2017,11,18,28,34,31,1,0,1
2017,11,19,12,12,9,1,3,1
2017,11,34,22,31,21,2,2,1
2017,11,24,2,54,24,0,6,1
2017,11,7,4,17,20,2,0,0
2017,11,13,17,8,33,2,0,0
2017,11,6,21,9,37,4,0,0
2017,11,26,1,31,34,2,1,0
2017,12,8,16,23,30,2,0,0
2017,12,6,24,6,28,2,0,0
2017,12,28,19,20,10,1,1,1
2017,12,1,27,34,20,1,0,1
2017,12,4,5,30,16,0,0,1
2017,12,11,10,16,20,1,2,0
2017,12,12,2,10,16,1,0,0
2017,12,17,15,35,17,2,3,1
2017,12,20,29,27,35,1,0,0
2017,12,21,3,31,3,3,2,1
2017,12,25,26,13,24,1,1,0
2017,12,13,7,21,14,1,1,1
2017,12,14,18,26,20,1,0,1
2017,12,22,30,27,24,2,3,1
2017,12,23,9,31,28,3,0,1
2017,12,33,34,23,16,0,3,1
2017,13,6,28,38,14,0,4,1
2017,13,1,16,9,14,0,0,0
2017,13,2,17,3,23,1,1,0
2017,13,3,25,14,15,0,1,0
2017,13,9,27,26,20,1,1,1
2017,13,10,34,24,13,1,1,1
2017,13,15,7,35,9,3,3,1
2017,13,20,12,38,31,0,0,1
2017,13,30,11,30,10,0,2,1
2017,13,33,8,44,20,0,3,1
2017,13,24,5,19,10,0,2,1
2017,13,13,19,24,17,1,2,1
2017,13,18,29,31,21,1,1,1
2017,13,22,14,16,32,2,1,0
2017,13,26,21,24,10,0,2,1
2017,13,4,23,20,23,0,1,0
2017,14,1,18,20,17,3,1,1
2017,14,2,11,13,7,2,0,1
2017,14,4,3,7,33,2,0,0
2017,14,5,9,21,27,2,0,0
2017,14,12,13,26,15,1,3,1
2017,14,19,6,10,30,2,0,0
2017,14,27,8,21,24,5,3,0
2017,14,29,16,31,24,1,3,1
2017,14,34,25,16,26,1,1,0
2017,14,7,20,23,0,0,2,1
2017,14,22,10,12,7,0,2,1
2017,14,24,28,30,13,1,1,1
2017,14,14,21,35,43,2,1,0
2017,14,30,26,30,24,1,3,1
2017,14,23,33,39,38,0,1,1
2017,14,15,17,27,20,0,2,1
2017,15,11,7,13,25,0,1,0
2017,15,8,3,20,10,1,3,1
2017,15,12,24,30,13,0,4,1
2017,15,2,15,24,16,0,3,1
2017,15,5,33,10,27,4,0,0
2017,15,16,4,34,7,1,2,1
2017,15,18,20,31,19,3,2,1
2017,15,19,21,29,34,1,0,0
2017,15,28,22,20,15,1,2,1
2017,15,29,9,31,24,0,4,1
